timestamp,site_id,state,district,hq,lat,lon,dissolved_oxygen,turbidity,tds,ph,nearby_cases,outbreak_flag,outbreak_score,case_count
17-12-2023 17:00,Imphal_East_site1,Manipur,Imphal East,Imphal,24.771599,93.866185,5.866825886,12.52759683,301.2083069,7.362971693,4,TRUE,0.862514908,22
21-01-2023 10:00,Dibrugarh_site3,Assam,Dibrugarh,Dibrugarh,27.456729,94.885114,8.269066423,16.97930849,363.40353,6.817779589,1,FALSE,0.303941581,0
12-12-2023 06:00,East_Khasi_Hills_site3,Meghalaya,East Khasi Hills,Shillong,25.552188,91.879855,7.096149506,12.89522449,206.5844344,6.930938991,3,FALSE,0.033784224,0
23-08-2023 02:00,Kohima_site3,Nagaland,Kohima,Kohima,25.711623,94.119368,7.287437156,0.225407552,319.2782011,7.39279861,5,FALSE,0.054102924,0
09-12-2023 02:00,Papum_Pare_site2,Arunachal Pradesh,Papum Pare,Itanagar,27.013754,93.591886,5.33562122,1.724998001,287.6089095,7.00280206,0,FALSE,0.320784315,0
15-01-2023 04:00,Imphal_East_site1,Manipur,Imphal East,Imphal,24.771599,93.866185,7.558194266,14.62107346,349.1088086,6.55921898,3,TRUE,0.992582533,34
23-06-2023 12:00,West_Tripura_site1,Tripura,West Tripura,Agartala,23.825718,91.271745,6.311302828,9.061954277,381.7799865,7.364029479,3,FALSE,0.006953298,0
23-05-2023 18:00,East_Khasi_Hills_site3,Meghalaya,East Khasi Hills,Shillong,25.552188,91.879855,7.135148097,11.78020222,252.3407831,6.737874427,1,FALSE,0.062643967,0
01-03-2023 22:00,East_Khasi_Hills_site1,Meghalaya,East Khasi Hills,Shillong,25.555001,91.899986,6.355917919,11.67743372,397.984575,6.66002466,2,FALSE,0.253384161,0
20-02-2023 14:00,East_Sikkim_site3,Sikkim,East Sikkim,Gangtok,27.305054,88.637084,7.436153867,16.43399426,199.8157944,7.141304612,1,FALSE,0.192531242,0
